iter	Logloss
0	0.6790986267
1	0.6657665564
2	0.6539576861
3	0.6425216989
4	0.6320085136
5	0.6223943785
6	0.613002429
7	0.6046843548
8	0.59640894
9	0.5888222346
10	0.5820157412
11	0.5755522976
12	0.5692701808
13	0.5633060535
14	0.5578359451
15	0.5524773261
16	0.5476820191
