iter	Passed	Remaining
0	44	44841
1	89	44865
2	131	43588
3	173	43173
4	211	42035
5	249	41347
6	292	41426
7	331	41086
8	387	42653
9	428	42403
10	468	42098
11	507	41792
12	550	41795
13	592	41694
14	633	41628
15	675	41543
16	720	41681
