iter	Logloss
0	0.6791077824
1	0.6662225187
2	0.6543346323
3	0.6431405674
4	0.6326194019
5	0.6228124451
6	0.6135083565
7	0.6051792166
8	0.5969553673
9	0.5896819639
10	0.5824470853
11	0.575791777
12	0.5695703958
13	0.5637571886
14	0.5581018471
15	0.5530452324
16	0.5482639511
17	0.5440650007
18	0.5400900206
19	0.5361837538
20	0.5325637677
21	0.5287715852
22	0.5257735956
23	0.5222569588
24	0.5193297051
25	0.5165746786
26	0.5139511475
27	0.5115242855
28	0.5094663379
29	0.5073243633
30	0.505118886
31	0.5031856261
32	0.501439835
33	0.4996997688
34	0.4981039095
35	0.4965986868
36	0.4951299364
37	0.493755638
38	0.492511955
39	0.4914229555
40	0.4902799223
41	0.4891993293
42	0.488281239
43	0.4873004314
44	0.4866093609
45	0.4856947235
46	0.4847913704
47	0.4842090581
48	0.4833726221
49	0.482551482
50	0.4816953029
51	0.4812961874
