iter	Passed	Remaining
0	44	44723
1	90	45013
2	134	44645
3	176	43857
4	220	43946
5	262	43487
6	304	43208
7	349	43311
8	388	42826
9	426	42250
10	472	42461
11	518	42652
12	562	42690
13	604	42591
14	643	42282
15	687	42304
16	731	42301
17	779	42511
18	824	42574
19	863	42297
20	903	42131
21	946	42067
22	987	41968
23	1029	41861
24	1072	41811
25	1113	41726
26	1157	41722
27	1197	41578
28	1238	41467
29	1279	41385
30	1321	41306
31	1367	41376
32	1408	41274
33	1451	41242
34	1495	41226
35	1539	41233
36	1579	41097
37	1620	41029
38	1661	40948
39	1699	40785
40	1741	40724
41	1786	40757
42	1824	40613
43	1864	40514
44	1902	40383
45	1943	40316
46	1987	40302
47	2026	40186
48	2066	40109
49	2109	40073
50	2149	40000
51	2175	39668
