iter	Passed	Remaining
0	58	58308
1	103	51755
2	139	46291
3	175	43613
4	210	41867
5	245	40635
6	283	40168
7	319	39595
8	354	39014
9	390	38623
10	422	37967
11	456	37589
12	491	37315
13	527	37157
14	567	37288
15	603	37100
16	636	36822
17	672	36697
18	706	36462
19	742	36371
20	777	36234
21	809	35998
22	844	35866
23	876	35630
