iter	Passed	Remaining
0	25	25139
1	48	24319
2	70	23265
3	90	22582
4	111	22131
5	131	21799
6	149	21148
7	169	20996
8	189	20833
9	210	20873
10	231	20799
11	252	20760
12	271	20629
13	293	20686
14	315	20696
15	336	20704
16	357	20651
17	377	20619
18	397	20505
19	417	20469
20	438	20457
21	461	20500
22	481	20455
23	502	20435
24	522	20383
25	542	20340
26	561	20248
27	585	20325
28	605	20290
29	626	20245
30	648	20255
31	669	20256
