iter	Logloss
0	0.6792389607
1	0.6668110267
2	0.6546573363
3	0.6438010743
4	0.633619903
5	0.6238618539
6	0.6149644049
7	0.606253509
8	0.5980123942
9	0.5904795238
10	0.5833774882
11	0.5764932034
12	0.5700941735
13	0.564289444
14	0.5588614197
15	0.5536361097
16	0.549111595
17	0.5445428548
18	0.540373892
19	0.5362926426
20	0.5324942797
21	0.5290453049
22	0.5256965437
23	0.5228449892
24	0.5200603011
25	0.5173442004
26	0.514919811
27	0.5125338562
28	0.5102782072
29	0.5080198472
30	0.5060815106
31	0.5043916807
32	0.5025892349
33	0.500914062
34	0.4993102303
35	0.4976848167
36	0.4960865214
37	0.494813853
38	0.4935080035
39	0.4920627782
40	0.4909375004
41	0.489709841
42	0.4888526026
