iter	Passed	Remaining
0	37	36969
1	75	37512
2	116	38784
3	155	38794
4	193	38584
5	238	39565
6	275	39072
7	315	39064
8	354	39005
9	391	38757
10	428	38528
11	466	38416
12	506	38434
13	542	38212
14	581	38172
15	617	37968
16	661	38262
17	708	38645
18	748	38625
19	784	38459
20	822	38344
21	856	38082
22	893	37967
23	929	37796
24	965	37642
25	1002	37564
26	1041	37515
27	1079	37471
28	1117	37406
29	1152	37251
30	1187	37115
31	1227	37117
32	1269	37204
33	1313	37305
34	1349	37220
35	1387	37157
36	1425	37105
37	1462	37020
38	1498	36913
39	1534	36825
40	1571	36751
41	1608	36694
42	1640	36502
