iter	Logloss
0	0.6791314664
1	0.6662557368
2	0.6544222352
3	0.6431974829
4	0.6325737309
5	0.622850452
6	0.6136413465
7	0.6050273145
8	0.5969530805
9	0.5896087941
10	0.5826860511
11	0.5763273217
12	0.5703565056
13	0.5647459443
14	0.5591474796
15	0.5541086047
16	0.5494719285
17	0.5449209387
18	0.5406880391
19	0.5368619181
20	0.5333776204
21	0.5299722636
22	0.526415232
23	0.5233522786
24	0.5206503082
25	0.5177316419
26	0.515206154
27	0.5130508916
28	0.5109012863
29	0.5086866331
30	0.5064054532
31	0.5045492049
32	0.5027098067
33	0.5009411715
34	0.4993482636
35	0.4978280478
36	0.4964809943
37	0.4951699499
