iter	Passed	Remaining
0	51	51166
1	102	51026
2	147	49069
3	192	47864
4	240	47926
5	282	46872
6	323	45924
7	364	45237
8	407	44858
9	452	44760
10	495	44538
11	539	44419
12	582	44204
13	622	43830
14	664	43664
15	711	43756
16	758	43864
17	805	43967
18	853	44043
19	899	44086
20	946	44121
21	994	44231
22	1046	44434
23	1091	44399
24	1130	44072
25	1176	44069
26	1221	44005
27	1263	43861
28	1306	43734
29	1349	43645
30	1393	43547
31	1438	43510
32	1484	43500
33	1528	43416
34	1569	43284
35	1612	43185
36	1654	43071
37	1697	42978
