iter	Logloss
0	0.6590080529
1	0.6316047238
2	0.6073051465
3	0.5877670924
4	0.5704668038
5	0.5553973718
6	0.5438820542
7	0.5335828511
8	0.5255901896
9	0.5181494393
10	0.5116828254
11	0.5059052158
12	0.5011350716
13	0.4969823305
14	0.4936831634
15	0.4907360285
16	0.4881078941
17	0.4862737954
18	0.4845493091
19	0.4831472318
20	0.4816270868
21	0.4800999387
22	0.4789225495
23	0.477955965
24	0.4771159942
25	0.4766099211
26	0.475722252
27	0.4751918648
28	0.4747835687
29	0.4742421607
30	0.4737810877
31	0.4730817756
32	0.4728383
33	0.4724686897
34	0.4719991185
35	0.4714770041
36	0.4712086444
37	0.4709912878
38	0.4707045467
39	0.4703524126
40	0.4699639204
41	0.4697475651
42	0.4694860585
43	0.4693987915
