iter	Passed	Remaining
0	22	22775
1	43	21611
2	64	21575
3	86	21542
4	108	21524
5	130	21571
6	151	21509
7	170	21179
8	190	20998
9	211	20951
10	232	20904
11	257	21200
12	283	21544
13	307	21636
14	329	21660
15	356	21901
16	379	21969
17	403	21988
18	425	21974
19	446	21899
20	470	21920
21	492	21895
22	514	21869
23	536	21799
24	557	21726
25	578	21683
26	598	21556
27	620	21523
28	642	21496
29	662	21419
30	684	21382
31	704	21306
32	727	21318
33	749	21296
34	769	21214
35	791	21198
36	812	21155
37	832	21063
38	850	20962
39	872	20929
40	894	20923
41	916	20906
42	937	20870
43	958	20824
