iter	Passed	Remaining
0	37	37943
1	73	36788
2	110	36727
3	145	36146
4	180	35871
5	214	35606
6	250	35539
7	284	35311
8	319	35204
9	355	35168
10	389	34997
11	423	34900
12	460	34968
13	501	35307
14	535	35155
15	570	35079
16	604	34965
17	641	35003
18	673	34793
19	709	34750
20	745	34746
21	777	34554
22	812	34493
23	844	34326
