iter	Passed	Remaining
0	42	42631
1	88	44189
2	131	43586
3	174	43431
4	217	43363
5	256	42556
6	294	41795
7	336	41716
8	376	41455
9	418	41402
10	458	41252
11	499	41096
12	540	41035
13	580	40871
14	628	41247
15	670	41227
16	718	41526
17	763	41680
18	810	41822
19	853	41836
20	899	41935
21	941	41841
22	983	41761
23	1026	41762
24	1071	41802
25	1119	41943
26	1165	42009
27	1209	41974
28	1247	41784
